"stage","n","tau2h","i2h","bias_p","bias_mean","mean","sd","lci","uci","lpi","upi","all_p","ccshs_p","cfs_p","chat_p","mesa_p","wsc_p","all_mean","ccshs_mean","cfs_mean","chat_mean","mesa_mean","wsc_mean","all_lci","ccshs_lci","cfs_lci","chat_lci","mesa_lci","wsc_lci","all_uci","ccshs_uci","cfs_uci","chat_uci","mesa_uci","wsc_uci","rt_all_p","rt_all_mean","rt_all_lci","rt_all_uci","all_p_adj","ccshs_p_adj","cfs_p_adj","chat_p_adj","mesa_p_adj","wsc_p_adj","rt_all_p_adj"
"All",19,0.0123054885293559,97.7942977703246,0.750676159477346,0.666368443096027,0.652442481984972,0.0265123951897842,0.596742006591174,0.70814295737877,0.383600517202211,0.927656723423675,2.43963521468973e-54,3.78196609159122e-30,6.09121418945048e-12,8.27078948370908e-47,9.30526643919478e-07,0.209137748918469,0.697131079636514,0.793677279353142,0.724109022170305,0.76683516706538,0.652200230796422,0.604779637522168,0.685890165254557,0.775547208276935,0.692441757885611,0.752059580441214,0.630374773264722,0.585191680637426,0.708371994018472,0.811807350429348,0.755776286454999,0.781610753689546,0.674025688328122,0.624367594406909,1.15392193706198e-34,0.673185316851011,0.661812944356969,0.684557689345052,1.70774465028281e-53,1.51278643663649e-29,1.82736425683514e-11,4.96247369022545e-46,1.86105328783896e-06,0.209137748918469,5.76960968530988e-34
"Wake",11,0.00950040550933141,98.3639442156088,0.686612859865703,0.759840352588044,0.740427827651186,0.0306107659406124,0.672222790769849,0.808632864532523,0.486789338428842,1.00777646873697,5.31257459461273e-94,1.80255050074336e-45,5.09063641496083e-22,2.93214262351878e-65,4.61147437732766e-20,0.00277060610149348,0.830168627157807,0.927120584249497,0.8759013753136,0.898799574515951,0.812538539458599,0.703274706289882,0.818122085325964,0.914734939380223,0.84593163782626,0.885512734563494,0.78754014147937,0.681503416368714,0.842215168989651,0.93950622911877,0.90587111280094,0.912086414468408,0.837536937437827,0.72504599621105,6.49751013166224e-72,0.806371855204839,0.793940945433847,0.81880276497583,3.71880221622891e-93,7.21020200297344e-45,1.52719092448825e-21,1.46607131175939e-64,9.22294875465531e-20,0.00277060610149348,3.89850607899734e-71
"N1",11,0.0174788870110909,98.9698283532328,0.703153177145535,0.262048723847369,0.287362454435982,0.0409436590569086,0.196134296948804,0.37859061192316,-0.0726344579300874,0.666364795266053,2.9395399525964e-68,2.11263692529296e-11,0.00341504756548248,4.66607577528097e-58,6.24037273567059e-22,3.37383738814451e-07,0.332650281641632,0.332559165696148,0.245828419455017,0.46781629007163,0.33542872903802,0.245664864512427,0.319533727724135,0.298716918654064,0.210249693489081,0.449335713609121,0.312305237100248,0.226941412800096,0.345766835559129,0.366401412738232,0.281407145420952,0.48629686653414,0.358552220975793,0.264388316224757,1.81928002469539e-50,0.304222400406769,0.29152309023599,0.316921710577549,2.05767796681748e-67,6.33791077587888e-11,0.00341504756548248,2.79964546516858e-57,2.49614909426823e-21,6.74767477628901e-07,9.09640012347696e-50
"N2",11,0.00490622532300617,97.1108301829983,0.257214146057487,0.672605903504037,0.632740915341868,0.023246381487113,0.580944749582337,0.684537081101399,0.424420219696368,0.844574904165408,1.84151105679131e-29,8.48586640133594e-16,0.000119701999659532,2.26136610583865e-18,0.00516684841866042,0.00054123830673273,0.650839777203277,0.720827622711659,0.649497896445294,0.684869291040841,0.612262645337199,0.61830216480626,0.639357443439774,0.694749601931362,0.614122986906439,0.664619848125307,0.588475696504206,0.596206713906127,0.662322110966779,0.746905643491955,0.68487280598415,0.705118733956375,0.636049594170191,0.640397615706393,1.43781241684555e-14,0.627019897817335,0.61546385655728,0.63857593907739,1.28905773975391e-28,4.24293320066797e-15,0.000359105998978596,1.35681966350319e-17,0.00516684841866042,0.00108247661346546,5.7512496673822e-14
"N3",11,0.0283074921675854,97.7184991800669,0.881786156389432,0.640341653492678,0.626735249941075,0.0525602762221443,0.509623656419384,0.743846843462765,0.196690186106169,1.07683089755717,0.612098110434616,2.63910668339457e-26,0.000953901426659713,1.9170895562626e-59,0.999999999999999,1,0.505357038736576,0.756359326839447,0.602433931430181,0.808253922331052,0.26274932558694,0.238398748403785,0.475938303806222,0.729383655885285,0.544994317611409,0.788520205532145,0.209964238008706,0.192259366721977,0.534775773666931,0.783334997793609,0.659873545248953,0.827987639129958,0.315534413165175,0.284538130085592,0.562604813120671,0.507218184132357,0.477241186041445,0.53719518222327,1,1.58346401003674e-25,0.00476950713329857,1.34196268938382e-58,1,1,1
"REM",11,0.0116776925171946,98.7386054117892,0.585544598631401,0.779115393516794,0.739573517250152,0.0338423743731617,0.664168008065846,0.814979026434459,0.437715140436108,1.0571200442948,1.50694598294696e-37,1.07373253180228e-23,0.00659511109040408,2.77420746575958e-32,0.000247895715909373,5.50916700727975e-09,0.776968112969771,0.839405140280724,0.740698668646316,0.825639873039065,0.735725615605978,0.756427103934425,0.760993925480984,0.817766222613536,0.680658231416899,0.805583913748301,0.696215248539292,0.726602278259514,0.792942300458559,0.861044057947911,0.800739105875733,0.84569583232983,0.775235982672664,0.786251929609337,3.50846733638982e-13,0.728197154203397,0.711133481782212,0.745260826624583,1.05486218806287e-36,5.36866265901138e-23,0.00659511109040408,1.66452447945575e-31,0.000495791431818745,1.65275010218392e-08,1.40338693455593e-12
